ticker,positive returns
FNB,68
FNCB,58
FNF,75
FNHC,59
FNLC,63
FNV,57
FOE,63
FOLD,58
FONR,48
FOR,57
FORD,49
FORM,67
FORR,63
FORTY,68
FOSL,48
FR,74
FRAF,66
FRBA,65
FRBK,58
FRC,77
FRD,55
FRME,76
FRO,55
FRPH,60
FRST,75
FRT,67
FSFG,82
FSI,59
FSLR,57
FSM,54
FSP,58
FSS,69
FSTR,66
FTEK,48
FTFT,45
FTI,57
FTK,62
FTNT,75
FUL,71
FULT,65
FUN,69
FUNC,71
FUSB,57
FVE,54
FWRD,70
FXNC,68
G,75
GABC,71
GAIA,66
GAIN,67
GALT,58
GASS,59
GATX,62
GAU,53
GBCI,71
GBDC,74
GBL,65
GBLI,61
GBOX,43
GBR,56
GBX,69
GCBC,72
GCO,58
GD,69
GDOT,67
GE,57
GEF,67
GEL,59
GENC,59
GENE,48
GEO,65
GEOS,59
GERN,57
GES,61
GEVO,40
GFED,74
GFF,64
GFI,55
GFN,69
GGAL,68
GGB,56
GGG,74
GHC,68
GHL,55
GHM,58
GIB,72
GIFI,53
GIGM,51
GIII,70
GIL,69
GILD,64
GILT,65
GIS,66
GL,73
GLAD,73
GLBS,42
GLBZ,67
GLDD,69
GLNG,63
GLP,71
GLRE,54
GLT,66
GLUU,59
GLW,67
GM,64
GMAB,65
GME,55
GNMK,52
GNRC,71
GNSS,60
GNTX,69
GNW,59
GOGL,59
GOL,57
GOLD,54
GOOD,70
GOOGL,75
GORO,47
GPC,72
GPI,77
GPK,71
GPL,53
GPN,75
GPRE,62
GPRK,55
GPS,57
GPX,66
GRA,70
GRBK,60
GRC,63
GRMN,70
GROW,49
GRVY,54
GS,70
GSAT,54
GSBC,69
GSIT,56
GSK,64
GSL,51
GSM,59
GSS,50
GT,61
GTE,60
GTIM,58
GTLS,62
GTN,66
GTS,59
GTT,61
GTY,69
GURE,51
GVA,67
GVP,55
GWW,64
GYRO,53
H,62
HA,64
HAE,68
HAFC,70
HAIN,67
HAL,59
HALL,64
HALO,71
HAS,73
HAYN,59
HBAN,73
HBCP,67
HBI,66
HBIO,59
HBM,54
HBMD,68
HBNC,75
HBP,63
HCCI,66
HCHC,69
HCI,63
HCKT,66
HCSG,70
HD,77
HDB,67
HDSN,62
HE,68
HEAR,52
HEES,66
HEI,72
HELE,72
HEP,56
HES,62
HFBL,73
HFC,62
HFWA,65
HGBL,49
HGSH,49
HHC,65
HI,65
HIBB,60
HIFS,80
HIG,72
HIHO,63
HIL,57
HIMX,57
HIW,73
HL,50
HLF,63
HLIO,66
HLIT,60
HLX,54
HMC,58
HMG,55
HMN,67
HMNF,68
HMY,54
HNI,69
HNNA,66
HNP,58
HNRG,56
HOFT,70
HOG,64
HOLI,61
HOLX,71
HOMB,69
HON,80
HOPE,67
HOV,55
HP,63
HPP,67
HPQ,66
HQI,58
HR,71
HRB,68
HRC,72
HRI,63
HRL,74
HROW,53
HRTX,61
HRZN,72
HSBC,62
HSC,59
HSIC,65
HSII,62
HSKA,73
HSON,57
HST,60
HSTM,58
HSY,74
HT,58
HTBK,67
HTGC,77
HTH,66
HTHT,65
HTLD,63
HTLF,73
HUBG,66
HUM,67
HUN,68
HURC,56
HURN,64
HUSA,47
HVT,72
HWBK,72
HWC,69
HWCC,53
HWKN,61
HWM,62
HX,12
HXL,67
HZO,65
IAC,74
IAG,53
IART,69
IBA,67
IBCP,65
IBIO,45
IBKR,73
IBM,60
IBN,64
IBOC,70
ICAD,57
ICCC,61
ICE,68
ICFI,64
ICLR,76
ICON,50
ICUI,68
ID,6
IDA,73
IDCC,68
IDEX,47
IDN,57
IDRA,55
IDT,69
IDXX,75
IEC,58
IEP,65
IESC,66
IEX,74
IFF,69
IGC,46
IGT,63
IHC,71
IHG,70
IHT,58
III,54
IIIN,61
IIN,60
IIVI,59
IKNX,54
ILMN,69
IMAX,59
IMBI,54
IMGN,60
IMKTA,71
IMMR,57
IMO,59
IMOS,61
INBK,60
INCY,58
INDB,71
INDT,62
INFI,59
INFN,62
INFU,63
INFY,67
ING,66
INGR,68
INN,64
INO,61
INOD,53
INS,56
INSG,56
INSM,62
INT,63
INTC,72
INTG,56
INTT,58
INTU,77
INTZ,59
INUV,54
INVA,59
INVE,55
IO,50
IONS,64
IOR,59
IOSP,61
IOVA,57
IP,64
IPAR,69
IPG,74
IPGP,63
IPHI,69
IPI,59
IRBT,62
IRCP,59
IRDM,78
IRIX,61
IRM,72
IRS,58
IRWD,56
ISBC,68
ISDR,70
ISIG,48
ISNS,49
ISR,48
ISRG,73
ISSC,58
IT,68
ITGR,70
ITI,62
ITIC,66
ITP,36
