symbol,name,sector,industry
GTIM,Good Times Restaurants Inc,CONSUMERSVCE,HOSPITALITY
GTN,Gray Television Inc.,CONSUMERSVCE,MEDIAPUB
H,Hyatt Hotels Corp,CONSUMERSVCE,HOSPITALITY
HTHT,Huazhu Group Limited,CONSUMERSVCE,HOSPITALITY
IGT,International Game Technology PLC,CONSUMERSVCE,HOSPITALITY
IHG,Intercontinental Hotels Group PLC,CONSUMERSVCE,HOSPITALITY
INTG,Intergroup Corp (The),CONSUMERSVCE,HOSPITALITY
JACK,Jack in the Box Inc.,CONSUMERSVCE,HOSPITALITY
JW-A,John Wiley & Sons Inc.,CONSUMERSVCE,MEDIAPUB
LEE,Lee Enterprises Inc,CONSUMERSVCE,MEDIAPUB
LUB,Luby's Inc.,CONSUMERSVCE,HOSPITALITY
LVS,Las Vegas Sands Corp,CONSUMERSVCE,HOSPITALITY
LYV,Live Nation Entertainment Inc,CONSUMERSVCE,HOSPITALITY
MAR,Marriott International Inc,CONSUMERSVCE,HOSPITALITY
MCD,McDonald's Corp,CONSUMERSVCE,HOSPITALITY
MCRI,Monarch Casino & Resort Inc,CONSUMERSVCE,HOSPITALITY
MCS,Marcus Corp (The),CONSUMERSVCE,HOSPITALITY
MDP,Meredith Corp,CONSUMERSVCE,MEDIAPUB
MGM,MGM Resorts International,CONSUMERSVCE,HOSPITALITY
MLCO,Melco Resorts & Entertainment Ltd,CONSUMERSVCE,HOSPITALITY
MMYT,MakeMyTrip Ltd,CONSUMERSVCE,HOSPITALITY
MSGN,MSG Networks Inc,CONSUMERSVCE,MEDIAPUB
MTN,Vail Resorts Inc.,CONSUMERSVCE,HOSPITALITY
NATH,Nathan's Famous Inc,CONSUMERSVCE,HOSPITALITY
NXST,Nexstar Media Group Inc.,CONSUMERSVCE,MEDIAPUB
NYT,New York Times Co (The),CONSUMERSVCE,MEDIAPUB
PAR,PAR Technology Corp,CONSUMERSVCE,HOSPITALITY
PENN,Penn National Gaming Inc,CONSUMERSVCE,HOSPITALITY
PZZA,Papa John's International Inc,CONSUMERSVCE,HOSPITALITY
QRTEA,Qurate Retail Inc,CONSUMERSVCE,MEDIAPUB
RAVE,Rave Restaurant Group Inc,CONSUMERSVCE,HOSPITALITY
RCL,Royal Caribbean Group,CONSUMERSVCE,HOSPITALITY
RDI,Reading International Inc.,CONSUMERSVCE,HOSPITALITY
RICK,RCI Hospitality Holdings Inc,CONSUMERSVCE,HOSPITALITY
RRGB,Red Robin Gourmet Burgers Inc,CONSUMERSVCE,HOSPITALITY
RUTH,Ruth's Hospitality Group Inc,CONSUMERSVCE,HOSPITALITY
SALM,Salem Media Group Inc,CONSUMERSVCE,MEDIAPUB
SBGI,Sinclair Broadcast Group Inc,CONSUMERSVCE,MEDIAPUB
SBUX,Starbucks Corp,CONSUMERSVCE,HOSPITALITY
SCHL,Scholastic Corp,CONSUMERSVCE,MEDIAPUB
SEAC,SeaChange International Inc,CONSUMERSVCE,MEDIAPUB
SGA,Saga Communications Inc.,CONSUMERSVCE,MEDIAPUB
SGMS,Scientific Games Corp,CONSUMERSVCE,HOSPITALITY
